Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,61.33,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,74.64,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95.7,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,71.93,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,73.71,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,56.57,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,74.77,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,61.74,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,67.65,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,73.52,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,101.9,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70.95,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,64.63,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,81.91,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,81.65,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.2,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83.74,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85.13,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,96.88,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,108.7,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,125.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86.45,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,92.58,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,113.4,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78.09,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,63.53,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,71.21,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,84.03,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,84.47,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,96.22,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,117.4,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,63.43,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,69.7,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83.97,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95.61,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,106.4,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,111.4,0.0 ~ 0.2
